"","stationcode","water_year_type","DS_Tim","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","DS_Dur_WS","DS_Mag_50","DS_Mag_90","Q99","FA_Dur","FA_Mag","FA_Tim"
"195","404CE0316",NA,NA,-50,644.62095,NA,43.5,93.5,-0.07885,-61.0971,-56,-50.5,0.66075,-0.39,974.34975,-1.5,832.4032,-35
"196","404CE0316","Moderate",-88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","404CE0316","Wet",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","404S00808",NA,NA,NA,14.3748,-0.1993,23,50,NA,-0.6989,NA,-33,NA,-0.06345,26.4641,NA,NA,NA
"199","404S00808","Dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"200","404S00808","Moderate",-50,-82,NA,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
"201","404S00808","Wet",NA,NA,NA,NA,NA,NA,-2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","404S01128","Wet",-52,NA,NA,NA,NA,NA,NA,NA,NA,-94,NA,NA,NA,NA,NA,NA
"203","404S01128","Moderate",NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"204","404S01128",NA,NA,NA,2.2892,-0.6276,NA,25,-2.0457,NA,-10,NA,NA,0.2117,12.3471,NA,NA,NA
"205","404S01128","Dry",NA,NA,NA,NA,-2,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,NA,NA
"206","404S02920",NA,NA,-16,-1.921,-0.46975,25.5,36.5,NA,-0.1877,NA,-13,NA,0.369,0.9987,NA,NA,NA
"207","404S02920","Wet",NA,NA,NA,NA,NA,NA,-2.2489,NA,-38,NA,0,NA,NA,NA,NA,NA
"208","404S02920","Moderate",-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","404S03048","Wet",NA,NA,NA,NA,-1,NA,-2.07,0.2,NA,-75,NA,NA,NA,NA,NA,NA
"210","404S03048","Moderate",-1,NA,NA,NA,NA,NA,NA,NA,-33,NA,0,NA,NA,NA,NA,NA
"211","404S03048",NA,NA,NA,0.2047,-0.6394,NA,13,NA,NA,NA,NA,NA,0.2275,0.3188,NA,NA,NA
"212","404S03048","Dry",NA,-57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","404S06456","Dry",NA,NA,NA,NA,-2,NA,NA,NA,NA,-83,0,NA,NA,NA,NA,NA
"214","404S06456",NA,NA,NA,0.3828,-0.3474,NA,NA,-0.027,-0.693,NA,NA,NA,0.4033,1.5087,NA,NA,NA
"215","404S06456","Moderate",-53,-74,NA,NA,NA,-6,NA,NA,-36,NA,NA,NA,NA,NA,NA,NA
"216","404S08040",NA,-0.5,-21.5,2.43995,-0.2345,22,33.5,-2.04925,0.09475,-17.5,-15,NA,NA,13.90165,NA,NA,NA
"217","404S08040","Wet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
