"","stationcode","latitude","longitude"
"1","312PS0099",34.77948,-119.95802
"2","312WE1028",34.74721,-119.71562
"3","312WE1035",34.73287,-119.67637
"4","314SYL",34.64387,-120.43045
"5","314WE0542",34.55085,-120.3583
"6","314WE0677",34.7477,-120.05303
"7","314WE0779",34.66959,-119.75404
"8","314WE0796",34.68351,-119.79875
"9","314WE1046",34.5365,-119.83603
"10","315CE0584",34.47666,-120.33833
"11","315GAVGSP",34.47395,-120.22866
"12","315MIU",34.44673,-119.70745
"13","402BA0079",34.41183,-119.27418
"14","402BA0095",34.46328,-119.34566
"15","402BA0143",34.36483,-119.31057
"16","402BA0287",34.50284,-119.36644
"17","402BA0335",34.37965,-119.30751
"18","402WE0536",34.5196,-119.40537
"19","402WE0803",34.42131,-119.3806
"20","403BA0015",34.5312,-119.18421
"21","403BA0027",34.66254,-119.05249
"22","403BA0171",34.58516,-119.28363
"23","403BA0960",34.59078,-118.4617
"24","403CE0188",34.35646,-119.04752
"25","403S00640",34.60115,-118.558
"26","403S00831",34.43048,-118.8318
"27","403S00875",34.55668,-119.30629
"28","403S01195",34.55903,-119.2678
"29","403S01536",34.56909,-118.39212
"30","403S01707",34.59835,-119.34799
"31","403S01728",34.5749,-118.46002
"32","403S02363",34.55885,-119.15456
"33","403S03643",34.56213,-119.12891
"34","403S05291",34.56397,-119.26305
"35","403S06139",34.55464,-119.2405
"36","403S06315",34.59223,-119.31033
"37","403S07024",34.6092,-118.75771
"38","403S07227",34.56208,-119.16664
"39","403S16332",34.5317,-118.75812
"40","403STC009",34.53833,-118.75889
"41","403STC070",34.56667,-119.26278
"42","403WE0501",34.54172,-118.77286
"43","403WE0534",34.61359,-118.77983
"44","403WE0540",34.65136,-119.11845
"45","403WE0558",34.49347,-118.45703
"46","403WE0560",34.55841,-119.14079
"47","403WE0682",34.57066,-118.38974
"48","403WE0683",34.43952,-119.07616
"49","403WE0795",34.6408,-119.08094
"50","403WE0809",34.5515,-119.20811
"51","403WE0891",34.65926,-119.14255
"52","403WE0905",34.55734,-119.24876
"53","403WE1027",34.72654,-119.02842
"54","404BA0084",34.09079,-118.94926
"55","404BA0376",34.11648,-118.66164
"56","404BA0526",34.04298,-118.87219
"57","404BA0616",34.17453,-118.69879
"58","404BA0852",34.07877,-118.82037
"59","404BA0964",34.06133,-118.9649
"60","404BA1144",34.06064,-118.63755
"61","404CE0316",33.99722,-118.4025
"62","404S00808",34.11411,-118.77907
"63","404S01128",34.1039,-118.71271
"64","404S02920",34.17748,-118.767
"65","404S03048",34.18426,-118.79089
"66","404S06456",34.06463,-118.58685
"67","404S08040",34.14358,-118.75527
"68","404S08616",34.12188,-118.7924
"69","404S08846",34.05442,-118.58176
"70","404S11880",34.12529,-118.70827
"71","404S13416",34.09875,-118.71594
"72","404S14952",34.14268,-118.70089
"73","404S16516",34.12998,-118.75648
"74","404S17266",34.10741,-118.7118
"75","404S17664",34.14994,-118.6976
"76","404S22464",34.12676,-118.70685
"77","404S25668",34.12139,-118.70914
"78","404S26868",34.09675,-118.71737
"79","404S28068",34.13936,-118.70366
"80","404S28270",34.13663,-118.75725
"81","404S32468",34.0999,-118.72304
"82","404S34120",34.16558,-118.78918
"83","404S35270",34.13325,-118.70656
"84","404S45622",34.06149,-118.58534
"85","405CE0280",34.23041,-117.74981
"86","405PS0030",34.23487,-117.80523
"87","405WE0777",34.25461,-118.08523
"88","407CE0092",34.27931,-119.22089
"89","407CE0668",34.28231,-119.21909
"90","408BA0660",34.26784,-118.93781
"91","408BA0836",34.19071,-119.0051
"92","408BA0916",34.23266,-118.95311
"93","408CAL012",34.27242,-118.78131
"94","408PS0032",34.1688,-119.05743
"95","408WE0547",34.19094,-119.0859
"96","408WE0654",34.16522,-119.09069
"97","408WE1039",34.14743,-119.087
"98","410CE0284",34.14944,-119.19111
"99","412CE0104",34.06911,-118.22324
"100","412CE0616",34.15397,-118.42994
"101","412CE0732",34.15513,-118.31261
"102","412WE0552",34.23908,-118.18059
"103","412WE0563",34.34716,-118.04869
"104","412WE0896",34.28771,-118.23008
"105","481S05856",34.19152,-117.67601
"106","722PS0535",33.36921,-116.42223
"107","722PS0611",33.11256,-116.4447
"108","801CE0152",34.18783,-117.1803
"109","801LYC271",34.22931,-117.47362
"110","801MIC042",33.94623,-117.61423
"111","801RB8361",33.96825,-117.44789
"112","801RB8501",34.09189,-116.94243
"113","801S08727",34.2171,-117.46178
"114","801WE0550",34.16471,-116.97444
"115","801WE0669",34.23169,-116.99915
"116","801WE0674",34.17617,-116.9839
"117","801WE0989",33.91889,-117.60776
"118","801WE1008",34.18128,-116.91197
"119","801WE1013",34.10098,-117.01071
"120","801WE1020",34.25257,-117.53174
"121","801WE1032",33.96165,-117.50039
"122","801WE1043",34.17289,-117.18064
"123","801WE1127",34.18401,-117.25876
"124","801WE1132",34.13332,-116.84289
"125","802SJR116",33.66396,-117.2787
"126","802WE0539",33.77174,-116.7696
"127","802WE0658",33.79824,-116.74831
"128","802WE0794",33.72962,-116.6735
"129","901DCCSMC",33.47303,-117.4659
"130","901S00313",33.60642,-117.44623
"131","901S00997",33.44002,-117.61937
"132","901S01705",33.60369,-117.51
"133","901S01811",33.56418,-117.71792
"134","901S01849",33.55523,-117.39779
"135","901S04409",33.60347,-117.45314
"136","901S06851",33.55052,-117.67542
"137","901S06969",33.55334,-117.39579
"138","901SJC74x",33.51917,-117.62372
"139","902S01097",33.48724,-117.25537
"140","903M20235",33.24759,-116.78551
"141","903WE0798",33.33669,-116.82848
"142","903WE0900",33.33052,-116.81511
"143","905CE0512",33.11137,-116.74386
"144","905S02561",33.12974,-116.63591
"145","905WE0679",33.13163,-116.6544
"146","905WE1018",33.12423,-116.68157
"147","907M23331",32.84058,-116.90771
