"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"87","405WE0777","405WE0777_06202001_BMI_CSBP_Trans_1","6/20/01",1.22327116,1.14574154,1.18450635,34.25461,-118.08523,-8,0,0.01,2,-1,0.1768,0,0.0462,-25,0.0542,-0.3982,0,-7,0,0.2,-4
"88","407CE0092","407CE0092_04272004_BMI_RWB_1","4/27/04",0.38989811,0.25195626,0.32092719,34.27931,-119.22089,-53,0,0.2,-16,NA,NA,NA,0.0529,-38,0.1098,-0.2602,64,81,-0.1,0.0436,-19
"89","407CE0668","407CE0668_05222007_BMI_RWB_1","5/22/07",0.42151147,0.26984725,0.34567936,34.28231,-119.21909,-53,0,0.2,-16,NA,NA,NA,0.0529,-38,0.1098,-0.2602,64,81,-0.1,0.0436,-19
"90","408BA0660","408BA0660_04272017_BMI_RWB_1","4/27/17",0.6407612,0.44047644,0.54061882,34.26784,-118.93781,198,-0.2993,-0.42745,-159,NA,NA,NA,207.8451,-79.5,139.8043,-1e-04,102,-40,1.06995,7.1813,20
"91","408BA0836","408BA0836_06042014_BMI_RWB_MCM_1","6/4/14",0.49921918,0.55818325,0.52870122,34.19071,-119.0051,166.5,-0.2999,-0.2172,-117,NA,NA,NA,239.198,-52.5,106.3469,0,152,-55.5,-0.32555,1.17125,25
"92","408BA0916","408BA0916_05082008_BMI_RWB_1","5/8/08",0.98677149,0.58187625,0.78432387,34.23266,-118.95311,162,-0.28105,-0.23045,-129,NA,NA,NA,155.4699,-57.5,170.49265,0,152,-52.5,-0.3381,1.9186,-21
"93","408CAL012","408CAL012_10302001_BMI_CSBP_Trans_1","10/30/01",0.73202817,0.5622054,0.64711679,34.27242,-118.78131,-4,-0.1363,-0.2805,-190,NA,NA,NA,64.8292,0,45.6026,-0.0337,-1,23,-0.1355,-0.2676,-13
"94","408PS0032","408PS0032_05212008_BMI_RWB_MCM_1","5/21/08",0.68520605,0.56951694,0.6273615,34.1688,-119.05743,192.5,-0.66795,-0.4006,-142.5,NA,NA,NA,403.57615,-80,312.4384,-1e-04,143,-42.5,9.48845,13.96045,24.5
"95","408WE0547","408WE0547_07122000_BMI_CSBP_Trans_1","7/12/00",0.57194799,0.52345272,0.54770035,34.19094,-119.0859,NA,NA,NA,-90,NA,NA,NA,62.5242,-212,-42.71815,0,116,46,-0.001,1.0365,-3
"96","408WE0654","408WE0654_06132001_BMI_CSBP_Trans_1","6/13/01",0.57245645,0.51648834,0.5444724,34.16522,-119.09069,NA,NA,NA,-108,NA,NA,NA,26.5144,-99.5,24.0913,0,61,12.5,0,0,-21
"97","408WE1039","408WE1039_05072002_BMI_RWB_1","5/7/02",0.266129,0.24113287,0.25363094,34.14743,-119.087,1,-0.2238,-6e-04,-39,1,0.0492,2,0,-40,0,0,-1,-1,-1e-04,1.498,-2
"98","410CE0284","410CE0284_05042006_BMI_RWB_1","5/4/06",0.58420235,0.29408839,0.43914537,34.14944,-119.19111,-30.5,-0.27595,-0.3918,29.5,1,-73.6196,-21,61.5707,-3,47.35265,-0.0618,29,59.5,-0.1923,-0.4264,-32.5
"99","412CE0104","412CE0104_07192005_BMI_RWB_1","7/19/05",0.74091358,0.47239027,0.60665192,34.06911,-118.22324,-8,-8.7661,-15.7761,30.5,0,-2271.4617,-9,1368.2699,-177,1041.7558,-0.0262,-1,-21,-7.8456,-27.2778,-6
"100","412CE0616","412CE0616_07162015_BMI_RWB_MCM_1","7/16/15",0.761421,0.5589496,0.6601853,34.15397,-118.42994,-14,-6.4951,-8.1781,19.5,-15.5,-828.07575,-13,1188.5554,-54,527.61275,-0.01825,0,22,-4.4836,-10.7649,-84
"101","412CE0732","412CE0732_09022015_BMI_RWB_MCM_1","9/2/15",0.72943747,0.42857332,0.5790054,34.15513,-118.31261,-1.5,-7.7819,-6.0326,-193,1.5,1902.6606,-13,918.2787,-20,975.6307,-0.0147,29,0,-6.0131,-6.7547,-4
